listing_price_eur_fixed,gmv_eur_fixed,suggested_price_maximum,lister_nth_listing,total_positive_feedback_count,total_negative_feedback_count,window_items_listed,window_items_bought,window_items_sold
310.0,240.0,100.0,5,1,0,1,0,0
285.0,250.0,38.0,64,86,2,1,8,2
80.0,80.0,40.0,33,15,0,1,2,1
17.0,15.0,85.0,57,5,0,46,2,2
25.0,20.0,120.0,112,41,0,1,0,0
13.0,24.0,15.0,76,10,1,64,8,14
7.5,7.5,17.0,253,30,0,124,3,20
180.0,0.380952381,58.0,160,43,0,9,2,8
120.0,110.0,100.0,41,1,0,33,0,3
65.0,65.0,31.5,142,65,0,2,6,1
210.0,160.0,70.0,1939,358,3,455,3,77
30.0,22.0,30.0,396,132,2,14,0,11
37.0,37.0,8.0,89,17,0,5,0,3
190.0,180.0,85.0,19,1,1,0,0,0
25.0,25.0,25.0,1499,326,7,498,25,109
28.0,20.0,17.0,183,121,0,35,46,19
5.0,5.0,15.0,77,7,0,18,0,3
120.0,99.0,100.0,78,18,0,52,5,17
75.0,79.99,70.0,15,11,0,3,0,2
300.0,230.0,34.66,72,23,1,4,3,4
50.0,44.0,180.0,54,6,0,4,1,1
180.0,125.0,149.59,95,26,0,0,0,6
40.0,30.0,40.0,135,56,0,14,0,13
50.0,55.0,190.0,90,30,5,22,5,4
75.0,70.0,105.0,66,24,1,45,0,23
50.0,50.0,65.0,62,28,1,3,3,3
10.0,10.0,8.0,39,13,0,0,0,2
200.0,180.0,100.0,399,479,19,47,44,34
12.0,12.0,4.0,99,31,0,1,0,1
23.0,23.0,4.0,25,0,0,15,0,1
13.0,6.0,15.0,87,28,5,65,21,24
63.0,63.0,15.0,75,44,3,50,3,32
25.0,95.0,75.0,18,42,0,4,0,3
10.0,10.0,9.0,222,79,0,1,1,6
80.0,55.0,10.0,660,327,1,79,11,49
10.0,6.0,6.0,7,0,0,6,0,2
220.0,180.0,63.0,22,4,0,12,0,2
1000.0,1000.0,10.0,64,11,7,1,2,4
40.0,27.0,10.0,131,49,12,19,5,9
470.0,470.0,140.0,3,2,0,1,0,1
21.0,20.0,10.0,833,93,7,413,5,55
